system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
4_00000000000000000070,21.620804204491428,Siaya,1354.955211174957,80.47713727061013,21.78865091802582,22.50131847006961,20.4596776993808,5.0,145.09226392232313,Gem Sub County,0.7538438209801307,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000007c,21.58408536290358,Siaya,1257.2314975133545,81.75264726941825,23.863879167434156,22.551786714798457,20.553713055351476,5.0,165.8509846765917,Ugunja Sub County,0.7497103941794072,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000009c,23.040980962862015,Siaya,1197.3269640329625,78.29619126751172,26.743984549651426,24.061607665058716,21.65166525463389,5.0,96.80723633044141,Bondo Sub County,0.7138066895119148,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000be,21.83865300542554,Siaya,1235.727823955939,82.08708478647678,23.04704277304768,22.860833977562717,20.80152103655259,5.0,167.7661072909032,Ugenya Sub County,0.749105453374094,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e6,22.16429675464248,Siaya,1231.7746084142395,81.30020850287835,29.03974110032362,23.048708140734078,21.033275434788365,5.0,125.04575638764439,Alego Usonga Sub County,0.7181238896440131,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000044,23.58987888996046,Siaya,1201.0864409909516,70.15797789896341,30.013801012722208,24.30570624573338,22.2020885380502,6.0,,Rarieda Sub County,0.5956843944643414,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000070,21.768185674327274,Siaya,1354.955211174957,74.06773147386942,21.78865091802582,22.48063411443381,20.715270463104908,6.0,,Gem Sub County,0.7159744249037481,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000007c,21.722855374333577,Siaya,1257.2314975133545,75.05325223016433,23.863879167434156,22.60331389150287,20.632562298931994,6.0,,Ugunja Sub County,0.7054702247191013,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000009c,23.350284035930898,Siaya,1197.3269640329625,71.99060309097462,26.743984549651426,24.02603973989727,21.985484924022717,6.0,,Bondo Sub County,0.6596061404553084,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000be,21.924353272287025,Siaya,1235.727823955939,76.06780256977525,23.04704277304768,22.771561350385145,20.821401850575274,6.0,,Ugenya Sub County,0.7084446413683329,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000e6,22.304773861730638,Siaya,1231.7746084142395,75.31790432349665,29.03974110032362,23.035863972187432,21.143524219813322,6.0,,Alego Usonga Sub County,0.6690265271844662,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
